SpringIndex,IsActuator,Amplitude,Phase
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1,0.201256,2.99678
7,1,0.201256,6.13838
8,0,0,0
9,0,0,0
10,1,0.172052,5.11976
11,1,0.172052,1.97817
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
